input_smiles,smiles,tanimoto,MW,LogP,TPSA,HBD,HBA,QED
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(Cl)cc3)c(CC(=O)N(C)C)n2c1,0.8636,327.81500000000005,3.593820000000002,37.61,0,2,0.73689826650631
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccccc3)c(CC(=O)N(C)C)n2c1,0.8605,293.37,2.9404200000000005,37.61,0,2,0.7443525811593186
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)Cl)c2ccc(Cl)cc21,0.86,403.25600000000003,5.295500000000003,15.6,0,2,0.5110321722724942
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,NC(F)(F)CN1C(=S)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.86,383.8260000000001,4.015400000000002,41.62,1,3,0.6427387261690564
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,OC(F)(F)CN1C(=S)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.86,384.8100000000001,4.049000000000002,35.83,1,3,0.8109213135554167
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21)CPC,0.8596,419.86800000000017,4.2508000000000035,35.91,0,3,0.6288546628295757
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8571,319.368,3.0308800000000016,74.28999999999999,0,4,0.7405729216860194
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CO)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8545,307.313,1.5706799999999999,94.52,1,5,0.7411340765152079
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(=O)Cl)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8545,325.75900000000007,3.4530800000000026,74.28999999999999,0,4,0.5457275704336193
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8519,317.32,2.1638,64.43,0,4,0.813897899115914
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCO)ncn2-c2ccc(F)cc2C1=O,0.8491,305.26500000000004,0.7035999999999996,84.66,1,5,0.6520731842370179
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,C=NCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8448,400.88500000000005,3.6431000000000022,48.269999999999996,0,4,0.6660011560817947
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,C=BCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8448,397.6900000000001,3.078700000000002,35.91,0,3,0.6732420012393824
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,CCc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.8444,321.42400000000004,3.5028200000000016,37.61000000000001,0,2,0.7373646395837936
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,BC(F)(F)CN1C(=S)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8431,380.63100000000014,3.6898000000000026,15.6,0,2,0.5960729420000164
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)P)c2ccc(Cl)cc21,0.8431,400.79300000000006,4.9318000000000035,15.6,0,2,0.5359179410880317
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,CC(F)(F)CN1C(=S)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8431,382.83800000000014,5.119100000000003,15.6,0,2,0.6846240857436815
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)S)c2ccc(Cl)cc21,0.8431,400.8780000000001,4.986500000000004,15.6,1,3,0.576795955719304
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(O)cn3c2CC(=O)N(C)C)cc1,0.8409,309.369,2.64602,57.84,1,3,0.8089586802472982
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(N)cn3c2CC(=O)N(C)C)cc1,0.8409,308.38500000000005,2.5226200000000008,63.629999999999995,1,3,0.8084192928406793
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2cc(Cl)ccc21,0.84,386.8010000000001,5.026200000000003,15.6,0,2,0.5313446230748395
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CS)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8393,323.38100000000003,2.5081800000000003,74.28999999999999,1,5,0.5935074163108514
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CP)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8393,323.29600000000005,2.4534800000000008,74.28999999999999,0,4,0.6939894941793285
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,BC(=O)N(CC)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8393,303.134,1.8473799999999998,74.28999999999999,0,4,0.6920329587025823
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(=O)P)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8393,323.29600000000005,3.089380000000003,74.28999999999999,0,4,0.6942412650125701
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(=O)S)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8393,323.38100000000003,3.1440800000000015,74.28999999999999,1,4,0.7514543263440293
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(=O)F)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8393,309.304,3.1837800000000023,74.28999999999999,0,4,0.5498768775382142
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CNN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.8393,403.8300000000002,1.0725999999999996,103.78999999999999,1,8,0.8112620648929075
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)O)cc1,0.8372,309.369,3.0082400000000007,57.84,1,3,0.5974888203456652
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCN(O)CC1,0.8364,390.7870000000002,1.3273999999999997,111.99,1,8,0.8167769194560094
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(C)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8364,373.8590000000001,3.6148000000000025,35.91,0,3,0.8021776512990266
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCS)ncn2-c2ccc(F)cc2C1=O,0.8333,321.3330000000001,1.6411,64.43,1,5,0.5187855951441996
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCP)ncn2-c2ccc(F)cc2C1=O,0.8333,321.24800000000005,1.5863999999999998,64.43,0,4,0.6222773017849867
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCCC1,0.8333,359.7730000000002,2.4164000000000003,88.52,0,6,0.8177223954347729
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCC1,0.8333,345.74600000000015,2.0262999999999995,88.52,0,6,0.8270268561198387
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(O)C(=O)c1cc(F)ccc1-2,0.8302,305.26500000000004,1.5331,84.66,1,5,0.671666480272586
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,Cc1ccccc1C1=NCc2nnc(C)n2-c2ccc(Cl)cc21,0.8261,322.79900000000004,3.8885400000000025,43.07,0,3,0.6818842987477449
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,C=Nc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.8261,320.396,3.272520000000002,49.970000000000006,0,3,0.6927793304137462
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,CPc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.8261,339.3790000000001,2.8740200000000007,37.61000000000001,0,2,0.6856564048780397
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(CS)cc3)c(CC(=O)N(C)C)n2c1,0.8261,339.46400000000006,3.3702200000000015,37.61,1,3,0.7401821976716025
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(CCl)cc3)c(CC(=O)N(C)C)n2c1,0.8261,341.84200000000004,3.6792200000000017,37.61,0,2,0.6787966225497356
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CCF)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8246,323.331,2.5903800000000006,74.28999999999999,0,4,0.7394499012094279
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CBr)CCCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8246,466.7820000000001,4.7275000000000045,35.91,0,3,0.43688273755143575
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(F)cn3c2CC(=O)N(C)C)cc1,0.8222,311.36,3.0795200000000014,37.61000000000001,0,2,0.7452846696383607
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Bc1ccc2nc(-c3ccc(C)cc3)c(CC(=O)N(C)C)n2c1,0.8222,305.19,1.19882,37.61,0,2,0.6820002655963452
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(Br)cn3c2CC(=O)N(C)C)cc1,0.8222,372.2660000000002,3.7029200000000024,37.61000000000001,0,2,0.7031952316226922
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(S)cn3c2CC(=O)N(C)C)cc1,0.8222,325.43700000000007,3.2291200000000018,37.61000000000001,1,3,0.7508652632579431
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=N)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8214,304.35699999999997,3.091450000000001,81.07,1,4,0.5952670541252724
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,B=C(C)N(CC)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8214,301.162,2.1448799999999997,57.22,0,4,0.6928371602399455
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCN(S)CC1,0.8214,406.8550000000002,1.7829999999999995,91.75999999999999,1,8,0.7598101930799996
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCN(P)CC1,0.8214,406.7700000000002,1.7282999999999995,91.75999999999999,0,7,0.7011315020795538
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8182,319.29200000000003,1.7052999999999998,73.66,0,5,0.6358433424255696
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)P)cc1,0.8182,325.35200000000003,3.4091400000000025,37.61000000000001,0,2,0.6921952390148051
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)S)cc1,0.8182,325.437,3.463840000000002,37.61000000000001,1,3,0.7489121204131712
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)F)cc1,0.8182,311.36,3.503540000000002,37.61000000000001,0,2,0.6942880695137652
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)N)cc1,0.8182,308.38500000000005,2.4927399999999995,63.63000000000001,1,3,0.45918791650612895
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)Br)cc1,0.8182,372.266,3.9289400000000025,37.61000000000001,0,2,0.653718993210499
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCCCC1,0.8182,373.80000000000024,2.8065000000000007,88.52,0,6,0.8037848035302599
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(C)C(=P)c1cc(F)ccc1-2,0.8148,319.276,2.2542999999999997,47.36,0,3,0.6291604032260542
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CC)CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8148,373.8590000000001,3.9624000000000033,35.91,0,3,0.7948141127041515
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CC)CCN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,0.8148,404.34100000000007,4.519200000000004,35.91,0,3,0.7099628263116674
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,O=C1Nc2cc(Cl)ccc2C(c2ccccc2Cl)=NC1O,0.814,321.163,3.1013000000000015,61.69,2,3,0.847697894583369
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CPCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8103,337.3230000000001,2.886680000000001,74.28999999999999,0,4,0.6862167112982299
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CCS)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8103,337.4080000000001,2.5506800000000007,74.28999999999999,1,5,0.7425966737228586
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CCCl)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8103,339.7860000000001,2.859680000000001,74.28999999999999,0,4,0.6849149162403799
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CCBr)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8103,384.2370000000001,3.0157800000000012,74.28999999999999,0,4,0.6485057461026543
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CC(=O)N(CCN)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.8103,320.35600000000005,1.5795799999999998,100.30999999999999,1,5,0.7863205147605572
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CCN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.8103,402.84200000000016,1.9581000000000002,91.75999999999999,0,7,0.7743368809139298
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CPN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.8103,420.7970000000002,2.1614999999999993,91.75999999999999,0,7,0.7024251697032496
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CCl)CCCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8103,422.3310000000001,4.571400000000004,35.91,0,3,0.48421649268697914
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1Nc2cc(Cl)ccc2C(c2ccccc2)=NC1O,0.8095,286.718,2.4479,61.69,2,3,0.8457292457729301
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,C=Bc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.8085,317.201,1.7019199999999999,37.61000000000001,0,2,0.6870826509331707
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CN1CCN(C(=O)OC2c3nccnc3C(=P)N2c2ccc(Cl)cn2)CC1,0.807,404.7980000000002,2.0485999999999995,74.69,0,6,0.7089757166091968
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,C=C1c2nccnc2C(OC(=O)N2CCN(C)CC2)N1c1ccc(Cl)cn1,0.807,386.843,2.3985000000000003,74.69000000000001,0,7,0.7839816317961547
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CN1CCN(C(=N)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.807,387.8310000000002,1.3827699999999994,98.53999999999999,1,7,0.6135553950655718
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,B=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCN(C)CC1,0.807,384.6360000000002,0.43620000000000014,74.69,0,7,0.7079791372428267
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CN1CCN(C(=O)OC2c3nccnc3C(=N)N2c2ccc(Cl)cn2)CC1,0.807,387.8310000000002,1.7531699999999997,98.53999999999999,1,7,0.8375913574650542
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CN1CCN(C(=O)OC2c3nccnc3C(=S)N2c2ccc(Cl)cn2)CC1,0.807,404.8830000000001,2.1033,74.69,0,7,0.7043509531567268
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CBN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.807,385.67900000000014,3.3846000000000025,35.91,0,3,0.7147187540290519
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccncc1)=NC2,0.8043,309.76000000000005,2.9751200000000004,55.96,0,4,0.694151266294487
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCCN)ncn2-c2ccc(F)cc2C1=O,0.8036,318.30800000000005,0.7125000000000002,90.44999999999999,1,5,0.8419176692749923
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CPCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8036,335.27500000000003,2.0195999999999996,64.43,0,4,0.6358402132824452
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCCS)ncn2-c2ccc(F)cc2C1=O,0.8036,335.36000000000007,1.6836,64.43,1,5,0.6847031804931265
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCCCl)ncn2-c2ccc(F)cc2C1=O,0.8036,337.73800000000006,1.9926000000000001,64.43,0,4,0.6344612803836064
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CN1Cc2c(C(=O)OCCBr)ncn2-c2ccc(F)cc2C1=O,0.8036,382.1890000000001,2.1487,64.43,0,4,0.6030118434700509
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,C#CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8036,313.288,1.387,64.43,0,4,0.6206478160185896
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(O)cn2)CC1,0.8036,370.36900000000014,0.6201999999999996,111.99,1,8,0.8187703097049199
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,Cc1ccc(N2C(=O)c3nccnc3C2OC(=O)N2CCN(C)CC2)nc1,0.8036,368.3970000000002,1.22302,91.76,0,7,0.7869556820877374
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,ON=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,0.8,301.733,1.6086000000000003,68.42,2,4,0.6209476524400027
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,Clc1ccc2c(c1)C(c1ccncc1)=NCc1nncn1-2,0.8,295.733,2.6667000000000005,55.96,0,4,0.6933446341218811
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,BN1Cc2c(C(=O)OCC)ncn2-c2ccc(F)cc2C1=O,0.8,301.08600000000007,0.692,64.43,0,4,0.6046273643003988
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,C=C1c2cc(F)ccc2-n2cnc(C(=O)OCC)c2CN1C,0.8,301.321,2.6042000000000005,47.36000000000001,0,4,0.8000322780727182
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,C=C(OCC)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8,301.321,2.6042000000000005,47.36,0,3,0.8187635341577909
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,B=C(OCC)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8,299.11400000000003,1.0123,47.36,0,3,0.7948593820352593
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(S)C(=O)c1cc(F)ccc1-2,0.8,321.333,1.9887000000000001,64.43,1,5,0.678540947437085
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=S)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.8,319.36100000000005,2.309,47.36,0,4,0.7971253846325925
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(N)C(=O)c1cc(F)ccc1-2,0.8,304.281,1.0176,90.44999999999999,1,5,0.507966690452583
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(P)C(=O)c1cc(F)ccc1-2,0.8,321.248,1.934,64.43,0,4,0.6262048746450308
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CCOC(=O)c1ncn2c1CN(C)C(=N)c1cc(F)ccc1-2,0.8,302.309,1.9588700000000001,71.21000000000001,1,4,0.8608677561003596
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CC)CCN1C(=P)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8,403.8690000000001,4.751000000000004,18.84,0,2,0.6479792472713353
